Job_ID,Mechanic_ID,Service_Type,Revenue,Time_Logged,Parts_Cost,Status
JOB-00118,MCH-018,Brake Pad Replacement,340.5,16/04/2026,109.55,Pending Parts
JOB-00119,MCH-047,Brake Pad Replacement,815.92,22/04/2026,,In Progress
JOB-00120,MCH-004,Transmission Check,822.03,25/03/2026,278.88,Completed
JOB-00121,MCH-037,Brake Pad Replacement,670.43,13/04/2026,407.57,In Progress
JOB-00122,MCH-038,Oil Change,1112.32,4/8/2026,,Pending Parts
JOB-10700,MCH-025,Oil Change,1095.9,3/29/2026,172.64,Completed
JOB-00124,MCH-047,Oil Change,104.66,3/20/2026,72.82,Pending Parts
JOB-00125,MCH-029,Oil Change,383.38,3/25/2026,129.41,Pending Parts
JOB-00126,MCH-034,Transmission Check,468.9,3/17/2026,225.01,Completed
JOB-00127,MCH-016,Oil Change,113.56,4/1/2026,412.65,Pending Parts
JOB-00128,MCH-037,Oil Change,652.18,29/03/2026,433.15,Completed
JOB-00129,MCH-030,Full Service,78.27,30/03/2026,23.34,Pending Parts
JOB-00130,MCH-023,Oil Change,829.78,20/04/2026,265.16,Completed
JOB-00131,MCH-036,Transmission Check,53.09,12/4/2026,220.36,Completed
JOB-00132,MCH-028,Full Service,86.73,4/7/2026,126.61,In Progress
JOB-00133,MCH-001,Full Service,1008.82,23/03/2026,77.54,Completed
JOB-00134,MCH-008,Transmission Check,340.5,4/2/2026,,Completed
JOB-00135,MCH-042,Full Service,143.41,3/12/2026,472.6,Completed
JOB-00136,MCH-015,Brake Pad Replacement,509.39,18/04/2026,,Completed
JOB-00137,MCH-034,Oil Change,108.59,3/14/2026,,Completed
JOB-00138,MCH-019,Brake Pad Replacement,912.97,4/7/2026,357.45,In Progress
JOB-00139,MCH-044,Transmission Check,618.27,22/04/2026,194.54,Completed
JOB-00140,MCH-030,Brake Pad Replacement,684.72,20/03/2026,486.46,Completed
JOB-00141,MCH-010,Transmission Check,915.96,4/2/2026,481.97,In Progress
JOB-00142,MCH-044,Brake Pad Replacement,952.13,19/03/2026,140.86,Completed
JOB-00143,MCH-027,Oil Change,206.7,20/03/2026,258.68,Completed
JOB-00144,MCH-020,Transmission Check,372.32,4/4/2026,164.42,Pending Parts
JOB-00145,MCH-025,Transmission Check,252.02,4/8/2026,156.72,In Progress
JOB-00146,MCH-009,Transmission Check,112.14,3/20/2026,37.71,In Progress
JOB-00147,MCH-040,Full Service,668.15,13/04/2026,312.59,Completed
JOB-00148,MCH-034,Oil Change,337.27,4/22/2026,261.29,Completed
JOB-00149,MCH-021,Full Service,227.08,17/03/2026,44.71,Completed
JOB-00150,MCH-024,Full Service,636.67,3/26/2026,,Completed
JOB-00151,MCH-007,Oil Change,779.12,22/04/2026,455.97,Completed
JOB-00152,MCH-004,Transmission Check,937.92,6/4/2026,134.99,Completed
JOB-00153,MCH-008,Full Service,70.12,3/13/2026,89.55,In Progress
JOB-00154,MCH-013,Full Service,655.23,11/3/2026,254.94,Pending Parts
JOB-00155,MCH-021,Transmission Check,357.13,31/03/2026,493.11,Completed
JOB-00156,MCH-035,Oil Change,1190.33,3/25/2026,136.19,Completed
JOB-00157,MCH-005,Oil Change,230.48,18/03/2026,342.63,Completed
JOB-00158,MCH-008,Oil Change,553.52,3/28/2026,385.58,Completed
JOB-00159,MCH-002,Full Service,1165.53,31/03/2026,134.07,Completed
JOB-00160,MCH-024,Oil Change,295.06,6/4/2026,369.54,In Progress
JOB-00161,MCH-042,Oil Change,977.93,4/7/2026,196.54,Completed
JOB-00162,MCH-016,Full Service,329.5,4/2/2026,323.51,Completed
JOB-00163,MCH-004,Oil Change,136.55,21/03/2026,324.09,In Progress
JOB-00164,MCH-030,Brake Pad Replacement,99.17,22/04/2026,277.17,Completed
JOB-00165,MCH-046,Oil Change,1141.05,15/03/2026,63.34,Completed
JOB-00166,MCH-030,Oil Change,294.83,17/04/2026,420.95,Completed
JOB-00167,MCH-035,Transmission Check,385.75,3/31/2026,,Completed
JOB-00168,MCH-042,Full Service,1161.95,22/04/2026,109.53,Completed
JOB-00169,MCH-013,Transmission Check,806,12/4/2026,39.57,Completed
JOB-00170,MCH-037,Brake Pad Replacement,611.35,21/04/2026,303.63,In Progress
JOB-00171,MCH-049,Oil Change,550.73,4/5/2026,345.23,Completed
JOB-00172,MCH-049,Transmission Check,105.85,3/19/2026,,Completed
JOB-14946,MCH-011,Transmission Check,1014.79,3/17/2026,265.8,Completed
JOB-00174,MCH-019,Brake Pad Replacement,926.34,10/4/2026,128.72,Completed
JOB-00175,MCH-018,Oil Change,154.3,3/13/2026,329.68,Completed
JOB-00176,MCH-017,Transmission Check,456.48,15/04/2026,103.7,Completed
JOB-00177,MCH-011,Oil Change,1068.22,4/19/2026,351.65,Completed
JOB-00178,MCH-015,Brake Pad Replacement,321.91,7/4/2026,205.63,Completed
JOB-00179,MCH-008,Brake Pad Replacement,752.92,19/03/2026,469.63,Completed
JOB-00180,MCH-044,Oil Change,611.13,4/3/2026,,Completed
JOB-00181,MCH-029,Brake Pad Replacement,991.3,4/4/2026,,Completed
JOB-00024,MCH-017,Full Service,91.46,16/03/2026,74.47,In Progress
JOB-00183,MCH-026,Transmission Check,988.57,12/4/2026,463.85,Completed
JOB-00184,MCH-005,Full Service,206.08,24/03/2026,441.12,In Progress
JOB-00185,MCH-004,Full Service,67.33,3/28/2026,,Completed
JOB-06108,MCH-024,Brake Pad Replacement,734.83,4/10/2026,336.79,Completed
JOB-00187,MCH-011,Brake Pad Replacement,347.44,7/4/2026,412.27,In Progress
JOB-00188,MCH-030,Oil Change,865.67,27/03/2026,286.5,Completed
JOB-00189,MCH-040,Full Service,590.25,16/03/2026,274.23,Completed
JOB-00190,MCH-048,Transmission Check,746.35,23/03/2026,136.09,Completed
JOB-00191,MCH-048,Oil Change,843.16,3/13/2026,64.69,Completed
JOB-00192,MCH-035,Oil Change,1115.97,3/20/2026,,Completed
JOB-00193,MCH-044,Oil Change,996.58,8/4/2026,452.2,Completed
JOB-00194,MCH-045,Brake Pad Replacement,619.38,3/22/2026,323.89,Completed
JOB-00195,MCH-033,Brake Pad Replacement,553.72,3/11/2026,182.73,Completed
JOB-00196,MCH-036,Oil Change,802.88,3/13/2026,187.62,Completed
JOB-00197,MCH-021,Brake Pad Replacement,893.56,9/4/2026,368.46,Completed
JOB-00198,MCH-038,Brake Pad Replacement,248.55,3/25/2026,450.61,Completed
JOB-00199,MCH-005,Oil Change,87.4,31/03/2026,445.8,Pending Parts
JOB-00200,MCH-005,Transmission Check,572.85,3/21/2026,394.34,Completed
JOB-00201,MCH-021,Transmission Check,164.37,4/21/2026,328.18,Completed
JOB-00202,MCH-025,Brake Pad Replacement,363.64,4/15/2026,60.39,Pending Parts
JOB-00203,MCH-010,Transmission Check,722.45,3/14/2026,97.58,Completed
JOB-00204,MCH-019,Transmission Check,224.17,11/4/2026,451.31,Completed
JOB-00205,MCH-032,Brake Pad Replacement,82.77,3/25/2026,311.09,Completed
JOB-00206,MCH-018,Transmission Check,687.79,7/4/2026,24.41,Completed
JOB-00207,MCH-034,Brake Pad Replacement,586.16,11/4/2026,68.71,Completed
JOB-00208,MCH-048,Full Service,402.25,10/4/2026,338.48,Completed
JOB-00209,MCH-015,Oil Change,589.1,3/18/2026,,Completed
JOB-00210,MCH-024,Transmission Check,836.05,17/03/2026,,Completed
JOB-00211,MCH-005,Oil Change,175.35,4/9/2026,283.39,In Progress
JOB-00212,MCH-032,Oil Change,344.04,3/17/2026,352.11,Completed
JOB-00213,MCH-009,Brake Pad Replacement,964.2,13/03/2026,332.94,Completed
JOB-00214,MCH-005,Transmission Check,820.64,27/03/2026,,Completed
JOB-00215,MCH-005,Transmission Check,356.19,22/03/2026,361.85,Completed
JOB-00216,MCH-041,Full Service,507.87,3/29/2026,133.88,Completed
JOB-00217,MCH-041,Transmission Check,187.71,16/04/2026,176.19,Completed
JOB-00218,MCH-034,Transmission Check,341.1,3/14/2026,,In Progress
JOB-00219,MCH-007,Brake Pad Replacement,1017.32,19/03/2026,331.82,Completed
JOB-00220,MCH-026,Oil Change,556.47,16/04/2026,427.63,In Progress
JOB-00221,MCH-001,Full Service,786.34,13/04/2026,335.65,Completed
JOB-00222,MCH-034,Transmission Check,233.7,3/21/2026,292.79,Completed
JOB-00223,MCH-026,Transmission Check,260.8,12/3/2026,64.96,Completed
JOB-00224,MCH-032,Full Service,1132.06,16/03/2026,196.5,Completed
JOB-00225,MCH-012,Brake Pad Replacement,1017.65,3/18/2026,,Completed
JOB-00226,MCH-006,Transmission Check,958.88,22/03/2026,,In Progress
JOB-00227,MCH-020,Transmission Check,429.03,20/03/2026,,Completed
JOB-00228,MCH-019,Full Service,697.17,3/20/2026,208.69,Completed
JOB-00229,MCH-016,Oil Change,616.19,2/4/2026,448.18,Completed
JOB-00230,MCH-004,Transmission Check,1149.67,4/7/2026,322.95,Completed
JOB-00231,MCH-032,Transmission Check,325.58,4/20/2026,401.51,Completed
JOB-00232,MCH-018,Oil Change,1139.32,26/03/2026,261.27,Completed
JOB-00233,MCH-005,Transmission Check,862.88,3/20/2026,296.91,Completed
JOB-02434,MCH-006,Oil Change,525.75,3/30/2026,256.41,Completed
JOB-00235,MCH-014,Brake Pad Replacement,356.31,15/03/2026,,Completed
JOB-00236,MCH-049,Oil Change,920.96,16/04/2026,366.78,Completed
JOB-00237,MCH-018,Oil Change,996.38,7/4/2026,154.77,Pending Parts
JOB-00238,MCH-010,Transmission Check,461.16,24/03/2026,31.67,Completed
JOB-00239,MCH-023,Transmission Check,247.66,16/03/2026,329.83,Completed
JOB-00240,MCH-018,Full Service,616.08,31/03/2026,,Completed
JOB-00241,MCH-004,Transmission Check,588.78,4/11/2026,471.42,In Progress
JOB-00242,MCH-032,Transmission Check,884.21,13/04/2026,477.89,Completed
JOB-00243,MCH-047,Oil Change,1169.16,15/03/2026,459.13,Completed
JOB-00244,MCH-006,Brake Pad Replacement,660.97,15/04/2026,197.68,Completed
JOB-00245,MCH-026,Transmission Check,891.48,19/03/2026,27.42,Completed
JOB-00246,MCH-006,Oil Change,453.17,3/13/2026,465.59,Completed
JOB-00247,MCH-035,Full Service,739.51,1/4/2026,225.53,Completed
JOB-00248,MCH-041,Full Service,182.63,20/04/2026,483.99,Pending Parts
JOB-00249,MCH-043,Brake Pad Replacement,987.17,4/16/2026,482.54,Completed
JOB-00250,MCH-005,Brake Pad Replacement,445.97,4/22/2026,429.44,In Progress
JOB-00251,MCH-014,Brake Pad Replacement,142.05,4/22/2026,,In Progress
JOB-00252,MCH-002,Oil Change,1189.15,2/4/2026,204.85,In Progress
JOB-00253,MCH-040,Transmission Check,1087.06,3/28/2026,428.55,Completed
JOB-00254,MCH-013,Oil Change,277.05,10/4/2026,172.12,Completed
JOB-00255,MCH-005,Full Service,467.68,4/19/2026,101.36,Completed
JOB-00256,MCH-047,Full Service,1127.23,4/20/2026,287.26,In Progress
JOB-00257,MCH-036,Transmission Check,965.78,4/3/2026,469.35,Completed
JOB-00258,MCH-036,Brake Pad Replacement,1092.37,2/4/2026,354.09,Completed
JOB-00259,MCH-019,Full Service,696.93,27/03/2026,293.63,Completed
JOB-00260,MCH-020,Brake Pad Replacement,329.58,4/19/2026,66.64,In Progress
JOB-00261,MCH-022,Oil Change,311.11,3/31/2026,315.2,In Progress
JOB-00262,MCH-031,Brake Pad Replacement,654.52,3/27/2026,495.23,Completed
JOB-00263,MCH-041,Oil Change,1112.6,18/03/2026,87.24,Completed
JOB-00264,MCH-047,Transmission Check,776.33,3/13/2026,268.8,Completed
JOB-00265,MCH-044,Brake Pad Replacement,89.55,3/11/2026,441.14,Completed
JOB-00266,MCH-004,Transmission Check,694.55,3/18/2026,375.57,Completed
JOB-00267,MCH-003,Brake Pad Replacement,749.71,4/10/2026,354.57,Completed
JOB-00268,MCH-037,Full Service,718.79,10/4/2026,357.19,Completed
JOB-00269,MCH-025,Transmission Check,844.74,11/4/2026,192.56,Completed
JOB-00270,MCH-049,Brake Pad Replacement,387.54,4/7/2026,,Completed
JOB-00271,MCH-037,Transmission Check,215.33,4/12/2026,,Completed
JOB-00272,MCH-004,Brake Pad Replacement,912.56,4/9/2026,408.85,Completed
JOB-00273,MCH-039,Oil Change,275.81,10/4/2026,436.19,Completed
JOB-00274,MCH-007,Transmission Check,181.28,7/4/2026,458.36,Completed
JOB-00275,MCH-007,Full Service,463.28,3/23/2026,265.44,Completed
JOB-00276,MCH-049,Transmission Check,1007.67,4/19/2026,260.73,Completed
JOB-00277,MCH-025,Oil Change,144.42,19/03/2026,403.18,In Progress
JOB-00278,MCH-015,Oil Change,274.9,17/04/2026,331.98,Completed
JOB-00279,MCH-007,Full Service,596.55,4/14/2026,356.94,Pending Parts
JOB-00280,MCH-047,Oil Change,380.79,12/3/2026,401.98,Completed
JOB-00281,MCH-004,Full Service,879.91,11/4/2026,447.2,Completed
JOB-00282,MCH-034,Brake Pad Replacement,826.14,31/03/2026,182.24,Completed
JOB-00283,MCH-045,Oil Change,1018.89,4/13/2026,200.28,Completed
JOB-00284,MCH-044,Brake Pad Replacement,284.42,27/03/2026,65.11,Completed
JOB-00285,MCH-042,Brake Pad Replacement,796.26,4/19/2026,297.57,Completed
JOB-00286,MCH-019,Oil Change,940.94,4/17/2026,37.25,Completed
JOB-00287,MCH-047,Full Service,122.07,13/03/2026,243.49,Completed
JOB-00288,MCH-049,Full Service,92.35,4/6/2026,280.47,Completed
JOB-00289,MCH-038,Full Service,693.15,7/4/2026,157.54,Completed
JOB-00290,MCH-027,Oil Change,726.03,18/04/2026,303.6,Completed
JOB-00291,MCH-005,Brake Pad Replacement,501.73,3/4/2026,34.64,Completed
JOB-00292,MCH-013,Transmission Check,91.48,4/14/2026,37.93,Completed
JOB-00293,MCH-046,Transmission Check,512.21,4/7/2026,414.85,Completed
JOB-00294,MCH-014,Oil Change,788.4,4/15/2026,192.89,Pending Parts
JOB-00295,MCH-030,Transmission Check,857.16,4/22/2026,80.99,Completed
JOB-00296,MCH-047,Brake Pad Replacement,616.71,28/03/2026,270.68,Completed
JOB-00297,MCH-048,Transmission Check,653.78,17/04/2026,389.6,Completed
JOB-00298,MCH-010,Full Service,823.58,3/28/2026,123.59,In Progress
JOB-00299,MCH-032,Brake Pad Replacement,566.7,3/19/2026,318.99,Pending Parts
JOB-00300,MCH-001,Oil Change,353.04,21/03/2026,60.97,Pending Parts
JOB-00301,MCH-024,Oil Change,306.42,15/03/2026,44.81,Completed
JOB-00302,MCH-029,Full Service,915.67,23/03/2026,275.05,Completed
JOB-00303,MCH-043,Transmission Check,610.68,3/21/2026,279.5,Completed
JOB-00304,MCH-007,Oil Change,767.7,21/03/2026,325.97,Completed
JOB-00305,MCH-031,Oil Change,591.77,2/4/2026,368.52,Pending Parts
JOB-00306,MCH-017,Brake Pad Replacement,991.66,16/03/2026,,Completed
JOB-00307,MCH-030,Brake Pad Replacement,621.37,3/25/2026,267.82,Pending Parts
JOB-00308,MCH-025,Brake Pad Replacement,1186.26,3/21/2026,175.02,Completed
JOB-00309,MCH-028,Brake Pad Replacement,329,4/17/2026,401.69,Completed
JOB-00310,MCH-036,Oil Change,209.31,22/04/2026,,Completed
JOB-04282,MCH-007,Brake Pad Replacement,479.64,3/16/2026,230.71,Completed
JOB-00312,MCH-035,Full Service,1106.46,17/04/2026,57.66,Completed
JOB-00313,MCH-020,Full Service,1030.16,4/11/2026,32.17,Pending Parts
JOB-00314,MCH-014,Brake Pad Replacement,334.46,2/4/2026,,Completed
JOB-00315,MCH-030,Brake Pad Replacement,739.65,4/3/2026,421.27,Pending Parts
JOB-00316,MCH-001,Transmission Check,727.28,9/4/2026,354.07,In Progress
JOB-00317,MCH-038,Brake Pad Replacement,387.41,18/04/2026,,Completed
JOB-00318,MCH-041,Oil Change,320.69,16/03/2026,103.18,Completed
JOB-00319,MCH-025,Full Service,498.56,12/3/2026,95.09,Pending Parts
JOB-00320,MCH-034,Full Service,956.91,22/04/2026,140.12,Completed
JOB-00321,MCH-008,Oil Change,270.47,21/04/2026,283.63,Pending Parts
JOB-00322,MCH-020,Brake Pad Replacement,562.58,3/4/2026,363.01,Completed
JOB-00323,MCH-030,Transmission Check,603.95,3/19/2026,,Completed
JOB-00324,MCH-004,Full Service,1129.99,3/4/2026,154.37,In Progress
JOB-00325,MCH-021,Transmission Check,399.05,19/04/2026,478.34,Completed
JOB-00326,MCH-027,Full Service,72.59,20/04/2026,374.19,Completed
JOB-00327,MCH-010,Transmission Check,847.79,21/04/2026,286.09,Completed
JOB-00328,MCH-023,Full Service,919.16,3/11/2026,313.63,Completed
JOB-00329,MCH-033,Transmission Check,858.49,3/21/2026,221.41,Completed
JOB-00330,MCH-011,Brake Pad Replacement,855.85,3/29/2026,138.91,Completed
JOB-00331,MCH-041,Brake Pad Replacement,605.71,28/03/2026,,Completed
JOB-00332,MCH-019,Oil Change,71.46,13/03/2026,383.77,Completed
JOB-00333,MCH-011,Oil Change,889.41,17/03/2026,26.91,Completed
JOB-00334,MCH-004,Transmission Check,1127,3/26/2026,75.71,Completed
JOB-00335,MCH-023,Transmission Check,230.99,12/3/2026,42.08,Completed
JOB-00336,MCH-005,Full Service,128.1,28/03/2026,39.55,Completed
JOB-00337,MCH-049,Oil Change,354.99,20/03/2026,,Completed
JOB-00338,MCH-005,Oil Change,1027.26,3/24/2026,357.76,Completed
JOB-00339,MCH-018,Full Service,172.07,8/4/2026,247.6,Completed
JOB-00340,MCH-017,Transmission Check,872.44,3/17/2026,,Completed
JOB-00341,MCH-003,Oil Change,122.39,16/04/2026,255.98,Completed
JOB-00342,MCH-043,Transmission Check,87.71,22/03/2026,247.27,Completed
JOB-00343,MCH-049,Brake Pad Replacement,1075,29/03/2026,103.14,Pending Parts
JOB-00344,MCH-008,Transmission Check,936.14,4/15/2026,,Completed
JOB-00345,MCH-040,Brake Pad Replacement,738.37,4/13/2026,211.28,Completed
JOB-00346,MCH-023,Brake Pad Replacement,247.79,30/03/2026,315.61,Pending Parts
JOB-00347,MCH-023,Full Service,370.68,4/12/2026,324.84,Completed
JOB-00348,MCH-002,Full Service,105.9,4/2/2026,41.75,Completed
JOB-00349,MCH-039,Brake Pad Replacement,792.17,20/03/2026,199.81,In Progress
JOB-00350,MCH-021,Full Service,839,4/10/2026,320.41,In Progress
JOB-00351,MCH-024,Oil Change,425.83,25/03/2026,,Completed
JOB-00352,MCH-038,Oil Change,439.18,4/14/2026,431.12,Completed
